,ÇÃ.ê⁄ë±èïéå.,Ç.äièïéå.,ÇÕ.ïõèïéå.,Ç….äièïéå.,Ç∆.äièïéå.,Ç™.äièïéå.,Ç‡.ïõèïéå.,ÇÃ.äièïéå.,Ç÷.äièïéå.,Ç©.ê⁄ë±èïéå.,Ç™.ê⁄ë±èïéå.,Ç»Ç™ÇÁ.ê⁄ë±èïéå.,Ç≈.äièïéå.,Ç©ÇÁ.äièïéå.,Ç‚.ê⁄ë±èïéå.,Ç≈Ç‡.ïõèïéå.,Ç….ê⁄ë±èïéå.,Ç©ÇÁ.ê⁄ë±èïéå.,ÇæÇØ.ïõèïéå.,ÇÊÇË.äièïéå.,Ç‹Ç‹.ê⁄ë±èïéå.,Ç‹ÇΩ.ê⁄ë±èïéå.,ÇŒÇ©ÇË.ïõèïéå.,Ç≥Ç¶.ïõèïéå.,ñî.ê⁄ë±èïéå.,Ç¡Çƒ.ïõèïéå.,Ç‹Ç≈.äièïéå.,Ç»Ç«.ïõèïéå.,Ç»ÇË.ê⁄ë±èïéå.,Ç©Ç‡.ê⁄ë±èïéå.,ÇæÇÃ.ê⁄ë±èïéå.,Ç∆.ê⁄ë±èïéå.,Ç©.èIèïéå.,ÇÊÇË.ê⁄ë±èïéå.,ÇµÇ©.ïõèïéå.,Ç‹Ç≈.ê⁄ë±èïéå.,ÇÃÇ›.ïõèïéå.,Ç»ÇÁ.ïõèïéå.,Ç‚ÇÁ.ê⁄ë±èïéå.,OTHERS,y
M43-1,0.224127735,0.221762271,0.119653065,0.178592549,0.090479007,0.049280505,0.021880544,0.010841711,0.005125172,0.005716539,0.007884881,0,0.004336684,0.001379854,0.013010053,0,0.011433077,0,0,0.009461857,0,0,0,0,0.001774098,0,0,0,0.007884881,0,0,0.002168342,0.000788488,0.000197122,0,0,0.005125172,0.00197122,0,0.005125172,1910
M43-2,0.185231539,0.130162703,0.072590738,0.10387985,0.097622028,0.117647059,0.03379224,0.04505632,0.025031289,0.023779725,0.017521902,0.005006258,0.042553191,0.017521902,0.020025031,0.01126408,0.003754693,0.006257822,0.002503129,0,0,0.002503129,0.003754693,0.001251564,0,0.005006258,0.003754693,0,0,0,0,0.006257822,0.001251564,0,0,0.001251564,0,0.001251564,0.007509387,0.005006258,1910
M44-1,0.211764706,0.154411765,0.092647059,0.123529412,0.075,0.132352941,0.033823529,0.055882353,0.011764706,0.014705882,0.008823529,0.008823529,0.025,0.013235294,0.004411765,0.005882353,0.004411765,0,0,0,0,0,0.005882353,0.001470588,0,0,0,0,0,0.001470588,0,0.002941176,0.002941176,0.001470588,0,0.001470588,0,0,0.002941176,0.002941176,1911
M44-2,0.158415842,0.133663366,0.081683168,0.131188119,0.141089109,0.148514851,0.017326733,0.037128713,0.014851485,0.00990099,0.002475248,0.002475248,0.02970297,0.012376238,0.002475248,0.002475248,0.002475248,0.002475248,0.004950495,0.004950495,0,0.007425743,0.007425743,0,0,0,0.00990099,0,0,0.007425743,0,0.002475248,0,0,0,0,0,0,0.014851485,0.00990099,1911
T03-04,0.223529412,0.105882353,0.088235294,0.125490196,0.107843137,0.096078431,0.052941176,0.029411765,0.017647059,0.009803922,0.015686275,0.003921569,0.045098039,0.021568627,0.015686275,0.005882353,0.003921569,0.001960784,0,0,0.001960784,0.001960784,0.005882353,0.001960784,0,0.001960784,0,0.005882353,0,0,0,0.001960784,0,0,0,0,0,0.001960784,0,0.005882353,1914
T03-12,0.166666667,0.129273504,0.110042735,0.098290598,0.116452991,0.102564103,0.039529915,0.017094017,0.022435897,0.022435897,0.017094017,0.007478632,0.049145299,0.028846154,0.002136752,0.011752137,0.002136752,0.002136752,0.004273504,0,0,0.00534188,0.011752137,0.002136752,0,0.009615385,0.004273504,0.003205128,0.003205128,0.001068376,0,0.001068376,0,0.001068376,0.003205128,0.001068376,0,0.001068376,0.002136752,0,1914
T04-08,0.205702648,0.17311609,0.120162933,0.16496945,0.122199593,0.059063136,0.034623218,0.036659878,0.010183299,0.00814664,0.00610998,0.00814664,0.00407332,0.00407332,0,0,0,0.00814664,0,0.00203666,0,0.00203666,0.00203666,0,0,0,0,0,0,0.00203666,0,0.00203666,0,0,0,0.00814664,0.00610998,0,0,0.010183299,1915
T04-09,0.181055156,0.163069544,0.118705036,0.112709832,0.080335731,0.080335731,0.03117506,0.037170264,0.026378897,0.026378897,0.001199041,0.023980815,0.03117506,0.025179856,0.005995204,0.004796163,0.003597122,0.004796163,0.004796163,0.002398082,0,0.002398082,0.003597122,0.004796163,0,0.004796163,0.007194245,0.002398082,0.001199041,0.001199041,0,0.003597122,0,0.001199041,0,0,0,0.002398082,0,0,1915
T05-01,0.157563025,0.154411765,0.146008403,0.114495798,0.069327731,0.087184874,0.048319328,0.030462185,0.021008403,0.003151261,0.004201681,0.016806723,0.043067227,0.015756303,0.006302521,0.007352941,0.004201681,0.010504202,0.009453782,0.005252101,0.00105042,0.007352941,0.005252101,0.008403361,0,0.007352941,0.007352941,0.00210084,0.00105042,0,0.00105042,0,0,0.00105042,0,0,0.00105042,0,0,0.00210084,1916
T05-02,0.138321995,0.111111111,0.136054422,0.102040816,0.102040816,0.0861678,0.049886621,0.031746032,0.029478458,0.020408163,0.015873016,0.009070295,0.056689342,0.038548753,0.009070295,0.013605442,0.002267574,0.011337868,0.011337868,0.004535147,0,0,0,0,0.002267574,0,0.002267574,0.004535147,0,0.002267574,0,0,0,0,0,0,0,0,0.002267574,0.006802721,1916
T05-03,0.199575372,0.1507431,0.101910828,0.116772824,0.10403397,0.082802548,0.036093418,0.033970276,0.023354565,0.014861996,0.002123142,0.014861996,0.033970276,0.025477707,0,0.006369427,0.004246285,0.004246285,0.006369427,0,0,0.006369427,0,0.004246285,0,0.010615711,0.002123142,0.002123142,0.002123142,0,0,0,0,0,0.004246285,0,0,0,0.004246285,0.002123142,1916
T05-03b,0.151067323,0.123152709,0.121510673,0.126436782,0.111658456,0.087027915,0.057471264,0.011494253,0.032840722,0.011494253,0.013136289,0.014778325,0.045977011,0.018062397,0.016420361,0.014778325,0,0.009852217,0.008210181,0,0.001642036,0,0.003284072,0,0.001642036,0,0.001642036,0.003284072,0.004926108,0,0,0,0,0,0,0,0.001642036,0.004926108,0,0.001642036,1916
T05-04,0.162011173,0.125698324,0.119180633,0.132216015,0.098696462,0.083798883,0.052141527,0.02141527,0.023277467,0.02886406,0.010242086,0.014897579,0.049348231,0.022346369,0.016759777,0.009310987,0.001862197,0.004655493,0.002793296,0,0.000931099,0,0.005586592,0,0.001862197,0,0.004655493,0.002793296,0.000931099,0,0,0.000931099,0.000931099,0,0,0,0,0.001862197,0,0,1916
T05-07,0.167042889,0.144469526,0.126410835,0.121896163,0.128668172,0.090293454,0.036117381,0.038374718,0.015801354,0.029345372,0.013544018,0.009029345,0.031602709,0.011286682,0,0,0.004514673,0.004514673,0,0.002257336,0,0,0.004514673,0.002257336,0,0,0.002257336,0,0,0,0,0,0.004514673,0,0.002257336,0.002257336,0,0,0,0.006772009,1916
T05-08,0.130592503,0.110036276,0.122128174,0.106408706,0.097944377,0.114873035,0.038694075,0.027811366,0.033857316,0.020556227,0.022974607,0.010882709,0.058041112,0.018137848,0.020556227,0.012091898,0.00241838,0.015719468,0.007255139,0.00362757,0.00120919,0,0.00120919,0,0,0,0.00362757,0.00120919,0.00241838,0.00241838,0.00120919,0.00120919,0,0,0,0,0,0.00241838,0.006045949,0.00241838,1916
T05-08b,0.177830189,0.148113208,0.112264151,0.133490566,0.085377358,0.09245283,0.041981132,0.029716981,0.018396226,0.018867925,0.008018868,0.019339623,0.025943396,0.016981132,0.004245283,0.003301887,0.001886792,0.008962264,0.007075472,0.001886792,0.000471698,0,0.004245283,0.008962264,0.001886792,0.007075472,0.00754717,0.000943396,0.000471698,0.000943396,0,0.003773585,0.000943396,0.000943396,0.001415094,0.001886792,0.000943396,0.000471698,0,0.000943396,1916
T05-09,0.1725,0.140833333,0.134166667,0.116666667,0.095,0.0775,0.030833333,0.024166667,0.025833333,0.019166667,0.015833333,0.015833333,0.040833333,0.025833333,0.0125,0.006666667,0.0025,0.006666667,0.005,0.0025,0.000833333,0,0.0025,0,0.005,0,0.005,0.000833333,0.0025,0.000833333,0,0.0025,0,0.001666667,0.0025,0,0.000833333,0,0,0.004166667,1916
T05-10,0.161662818,0.187066975,0.136258661,0.132794457,0.076212471,0.075057737,0.030023095,0.020785219,0.018475751,0.016166282,0.01039261,0.016166282,0.032332564,0.012702079,0.001154734,0.009237875,0.004618938,0.009237875,0.001154734,0.003464203,0,0.004618938,0.002309469,0.005773672,0,0.009237875,0.004618938,0,0.002309469,0.003464203,0.001154734,0.002309469,0.001154734,0.001154734,0.001154734,0.001154734,0.001154734,0.002309469,0,0.001154734,1916
T05-10b,0.14354067,0.144736842,0.133971292,0.133971292,0.09569378,0.076555024,0.040669856,0.0215311,0.0215311,0.023923445,0.023923445,0.020334928,0.033492823,0.014354067,0.003588517,0.009569378,0.005980861,0.004784689,0.001196172,0.001196172,0,0,0.002392344,0.007177033,0.005980861,0.007177033,0.004784689,0,0,0.002392344,0,0,0.003588517,0.002392344,0.001196172,0,0,0.003588517,0,0.004784689,1916
T05-11,0.160583942,0.116788321,0.156934307,0.080291971,0.091240876,0.080291971,0.040145985,0.03649635,0.02919708,0.051094891,0.02919708,0.018248175,0.032846715,0.02189781,0,0,0,0.018248175,0,0,0,0.003649635,0,0.003649635,0,0.003649635,0,0.003649635,0,0.003649635,0,0.003649635,0,0,0,0,0,0,0,0.01459854,1916
