"Word1","菅2020","安倍3"
"こと",14,22
"化",25,7
"的",20,12
"経済",19,11
"私",6,23
"世界",9,18
"ため",14,12
"社会",17,8
"人",14,6
"日本",0,20
"者",15,4
"中",13,5
"たち",5,11
"成長",0,16
"これ",8,7
"年",11,4
"性",10,5
"皆さん",6,9
"企業",9,5
"国民",8,6
"方々",10,4
"制度",2,11
"コロナ",12,0
"保障",0,12
"国",6,6
"よう",5,6
"ウイルス",11,0
"今後",7,4
"力",3,8
"地方",11,0
"安全",0,11
"政策",4,7
"デジタル",10,0
"医療",7,3
"十",0,10
"戦略",2,8
"福島",0,10
"三",0,9
"全て",9,0
"地域",7,2
"実行",0,9
"改革",0,9
"新型",9,0
"日",5,4
"課題",6,3
"の",5,3
"はじめ",7,1
"もの",3,5
"一",0,8
"世代",5,3
"分野",4,4
"前",4,4
"政権",8,0
"未来",3,5
"状況",7,1
"環境",6,2
"今",2,5
"全力",4,3
"円",7,0
"国家",1,6
"国際",5,2
"外交",3,4
"女性",5,2
"平和",0,7
"産業",4,3
"わが国",6,0
"上",4,2
"全国",4,2
"再生",0,6
"心",2,4
"意志",0,6
"災害",4,2
"行政",6,0
"被害",5,1
"道",0,6
"高齢",4,2
"主義",2,3
"二",0,5
"以上",3,2
"価値",3,2
"内閣",2,3
"加速",0,5
"地",2,3
"年間",3,2
"復興",0,5
"我が国",0,5
"投資",0,5
"政府",5,0
"新た",0,5
"来年",4,1
"民間",3,2
"現実",0,5
"総理",2,3
"農業",2,3
"間",4,1
"それ",2,2
"づくり",2,2
"グリーン",4,0
"人材",4,0
"以来",4,0
"保険",2,2
"児童",4,0
"全体",3,1
"創設",0,4
"国会",0,4
"大臣",2,2
"将来",1,3
"後",3,1
"意欲",0,4
"所得",3,1
"明治",0,4
"次",3,1
"海外",4,0
"消費",0,4
"現場",3,1
"省庁",4,0
"積極",0,4
"競争",0,4
"米",0,4
"自治体",4,0
"被災",0,4
"豪雨",3,1
"財政",0,4
"責任",1,3
"選挙",0,4
"これら",0,3
"さ",1,2
"さん",1,2
"ふるさと",1,2
"エネルギー",2,1
"システム",1,2
"ダム",3,0
"チェーン",3,0
"チャレンジ",0,3
"チャンス",0,3
"デフレ",0,3
"ビジネス",2,1
"ベンチャー",1,2
"ポスト",3,0
"中小",3,0
"事業",2,1
"五",0,3
"体制",3,0
"保健",3,0
"倍",1,2
"八",0,3
"公務員",1,2
"六",0,3
"再建",0,3
"割り",3,0
"取り組み",3,0
"可能",0,3
"命",3,0
"問題",0,3
"国土",3,0
"基本",2,1
"基盤",1,2
"姿",1,2
"子ども",3,0
"安定",0,3
"実感",0,3
"実現",0,3
"家族",1,2
"対策",0,3
"市場",0,3
"希望",0,3
"年内",2,1
"年末",3,0
"強化",0,3
"憲法",2,1
"成田",0,3
"手紙",1,2
"拡大",0,3
"方",3,0
"時",3,0
"最大",3,0
"最大限",2,1
"構築",0,3
"機関",3,0
"水",0,3
"法",2,1
"注目",0,3
"洪水",3,0
"活性",2,1
"活躍",0,3
"現在",2,1
"産物",0,3
"男性",3,0
"症",3,0
"皆さま",3,0
"立て直し",0,3
"結果",1,2
"縦",3,0
"自身",1,2
"若者",1,2
"行動",0,3
"規制",0,3
"解決",0,3
"貢献",0,3
"賃金",2,1
"農地",0,3
"農水",0,3
"都会",3,0
"金融",2,1
"難病",1,2
"額",3,0
"風評",1,2
"％",1,2
"〇",0,2
"か月",0,2
"ごと",0,2
