"Word1","菅2020"
"化",25
"的",20
"経済",19
"社会",17
"改革",16
"実現",15
"者",15
"こと",14
"ため",14
"人",14
"中",13
"コロナ",12
"ウイルス",11
"地方",11
"年",11
"デジタル",10
"対策",10
"性",10
"方々",10
"世界",9
"企業",9
"全て",9
"新型",9
"これ",8
"国民",8
"感染",8
"成長",8
"政権",8
"はじめ",7
"今後",7
"円",7
"医療",7
"地域",7
"状況",7
"わが国",6
"保障",6
"国",6
"支援",6
"環境",6
"皆さん",6
"私",6
"行政",6
"課題",6
"関係",6
"たち",5
"の",5
"よう",5
"世代",5
"交代",5
"再生",5
"国際",5
"女性",5
"強化",5
"復興",5
"拡大",5
"政府",5
"整備",5
"日",5
"被害",5
"グリーン",4
"上",4
"人材",4
"以来",4
"促進",4
"児童",4
"全力",4
"全国",4
"分野",4
"前",4
"対応",4
"政策",4
"来年",4
"決意",4
"海外",4
"災害",4
"生産",4
"産業",4
"省庁",4
"確保",4
"自治体",4
"輸出",4
"連携",4
"間",4
"高齢",4
"もの",3
"サプライ",3
"サービス",3
"ダム",3
"チェーン",3
"ポスト",3
"一貫",3
"中小",3
"介護",3
"以上",3
"体制",3
"価値",3
"保健",3
"優先",3
"全体",3
"割り",3
"力",3
"取り組み",3
"命",3
"回復",3
"国土",3
"外交",3
"子ども",3
"年末",3
"年間",3
"後",3
"所得",3
"打破",3
"拉致",3
"教育",3
"方",3
"時",3
"最大",3
"未来",3
"検査",3
"検討",3
"構築",3
"機関",3
"次",3
"民間",3
"洪水",3
"活動",3
"活用",3
"現場",3
"男性",3
"症",3
"皆さま",3
"策定",3
"縦",3
"規制",3
"観光",3
"議論",3
"豪雨",3
"都会",3
"額",3
"それ",2
"それぞれ",2
"づくり",2
"エネルギー",2
"オンライン",2
"スタート",2
"ビジネス",2
"プラン",2
"マイナンバーカード",2
"ワーク",2
"一体",2
"上昇",2
"不妊",2
"主張",2
"主義",2
"事業",2
"今",2
"今回",2
"仕事",2
"以降",2
"会社",2
"保険",2
"信頼",2
"倍増",2
"偏り",2
"先月",2
"入国",2
"内閣",2
"再開",2
"利用",2
"制度",2
"効果",2
"効率",2
"動き",2
"参加",2
"受け皿",2
"向上",2
"品",2
"国内",2
"圏",2
"地",2
"基本",2
"基礎",2
"場",2
"夏",2
"大会",2
"大臣",2
"子育て",2
"安心",2
"実行",2
"宣言",2
"対象",2
"導入",2
"就任",2
"就職",2
"年内",2
"当面",2
"影響",2
"待機",2
"循環",2
"徹底",2
"心",2
"思い",2
"感謝",2
"憲法",2
"戦略",2
"抑止",2
"推進",2
"措置",2
"日常",2
"時代",2
"暮らし",2
"最大限",2
"毎年",2
"治療",2
"法",2
"活性",2
"活躍",2
"流れ",2
"消費",2
"減少",2
"炭素",2
"現在",2
"生活",2
"用",2
"疾患",2
"発展",2
"発足",2
"発電",2
"礎",2
"経営",2
"継承",2
"継続",2
"維持",2
"総理",2
"締結",2
"緩和",2
"考え",2
"育児",2
"能力",2
"自分",2
"被災",2
"証",2
"貿易",2
"賃金",2
"資源",2
"転換",2
"農業",2
"農産",2
"返還",2
"重症",2
"金",2
"金融",2
"鍵",2
"長年",2
"闘い",2
"雇用",2
"電話",2
"うち",1
"おかげ",1
"お守り",1
"お祈り",1
"お話し",1
"かじ取り",1
"けん引",1
"ここ",1
"さ",1
"さなか",1
"さら",1
"さん",1
"しがらみ",1
"そう",1
"たび",1
