"Word1","hana2","jigokuhen_shinji2","kaeru2","kaigara2","karenosho2","kiseru2","onna2","rashomon2","sarano_hana2","torokko2"
"に",144,662,51,179,256,144,57,138,7,139
"を",153,494,28,119,193,168,47,155,2,92
"は",149,534,37,138,160,133,46,110,4,126
"て",127,378,15,63,123,122,30,129,0,72
"と",63,415,15,61,97,81,32,64,2,51
"が",85,410,24,38,79,82,17,81,1,53
"も",52,251,19,49,67,35,11,35,2,41
"で",43,138,8,13,49,30,6,29,0,14
"へ",20,147,5,22,36,16,11,24,1,26
"か",5,140,12,15,21,25,3,17,1,9
"から",24,99,1,14,23,18,3,22,0,12
"ながら",16,72,4,5,20,14,6,20,0,18
"の",15,61,4,6,23,9,3,17,0,11
"な",2,60,2,7,6,3,0,6,0,2
"ば",12,17,1,8,7,6,0,14,1,7
"まで",8,30,0,3,8,5,3,8,0,7
"ばかり",5,31,1,4,6,4,1,11,0,1
"より",7,28,2,2,4,4,2,4,0,3
"でも",3,29,0,1,6,6,0,4,0,3
"や",6,12,2,6,5,1,0,2,0,4
"など",2,23,0,4,2,0,0,4,0,2
"だけ",9,9,0,5,1,1,0,4,0,2
"として",1,11,0,3,10,2,0,4,0,0
"ので",5,12,0,1,7,3,0,2,0,0
"OTHERS1",36,100,2,17,26,67,6,49,4,25
