"Word1","hana2","jigokuhen_shinji2","kaeru2","kaigara2","karenosho2","kiseru2","onna2","rashomon2","sarano_hana2","torokko2"
"の",42,126,16,19,27,32,2,29,1,14
"事",29,83,1,0,25,29,0,28,0,19
"やう",0,150,4,21,29,0,0,0,0,0
"つて",0,110,7,27,32,0,0,0,0,0
"それ",12,80,1,14,15,16,5,14,0,9
"中",17,66,9,6,23,8,4,8,0,5
"云",0,95,5,10,34,0,0,0,0,0
"彼",0,2,0,49,36,26,0,0,0,19
"時",12,55,1,11,17,10,1,7,0,11
"秀",0,111,0,0,5,0,0,0,0,0
"人",12,33,0,8,8,16,0,5,3,27
"よう",35,2,0,0,0,15,11,26,0,12
"もの",5,61,1,3,13,12,0,1,0,0
"さ",7,57,0,4,16,2,0,2,1,3
"鼻",78,3,0,0,2,3,0,3,0,1
"煙管",0,0,0,0,0,88,0,0,0,0
"上",8,26,2,3,7,7,3,21,0,4
"何",3,31,7,13,2,9,2,6,0,3
"弟子",23,51,0,0,2,0,0,0,0,0
"顔",16,33,0,0,15,8,0,2,0,2
"男",1,44,0,12,0,1,0,11,0,5
"眼",6,32,4,0,13,5,4,6,0,0
"方",3,47,1,0,6,6,0,2,0,3
"私",0,65,0,1,0,1,0,0,0,0
"これ",11,32,1,2,6,6,0,6,0,1
"殿様",0,56,0,0,0,1,0,0,0,0
"前",4,21,1,4,5,6,1,7,0,7
"声",2,23,4,3,12,3,1,5,0,3
"師匠",0,22,0,0,32,0,0,0,0,0
"所",5,31,0,1,3,6,0,4,0,4
"気",6,27,0,4,4,4,0,4,0,5
"自分",11,11,4,0,25,0,1,2,0,0
"娘",0,52,0,0,0,0,0,0,0,0
"誰",6,24,0,1,8,4,1,6,0,2
"手",6,14,0,3,5,7,0,9,0,5
"下人",0,0,0,0,0,0,0,44,0,0
"車",0,32,0,4,1,0,0,0,0,7
"たち",1,17,0,1,12,3,0,0,0,8
"日",6,11,1,4,9,3,2,2,0,3
"こと",0,3,1,35,0,0,0,0,0,0
"今",3,9,1,3,4,5,1,6,1,6
"猿",0,36,0,0,0,0,0,3,0,0
"トロッコ",0,0,0,0,0,0,0,0,0,38
"後",1,6,1,10,5,4,3,2,0,5
"為",0,5,23,9,0,0,0,0,0,0
"下",5,12,0,0,3,1,3,8,0,3
"通り",4,15,0,1,6,4,0,3,0,1
"ぢ",0,23,0,1,5,4,0,0,0,0
"外",3,19,0,4,0,0,0,3,0,4
"屏風",0,32,0,0,0,0,0,0,0,0
"度",5,13,0,5,2,2,2,1,0,2
"心もち",3,7,0,4,15,2,0,1,0,0
"火",0,23,0,0,1,0,0,8,0,0
"口",1,13,4,1,3,3,2,3,0,1
"一つ",2,12,1,4,0,4,4,2,0,1
"先",5,12,0,0,4,4,4,1,0,0
"OTHERS1",441,2336,221,594,849,507,300,590,26,388
