"Word1","anitachi2","asa2","asamasiki_mono2","hashire_merosu2","kirigirisu2","ningen_shikkaku2","onnano_ketto2","sekibetsu2","soseiki2","uso2"
"の",48,12,5,78,69,518,239,647,38,75
"私",55,37,1,76,152,40,183,384,28,75
"自分",3,3,0,6,8,759,45,205,1,1
"よう",20,8,3,13,41,229,159,302,14,23
"事",0,11,0,15,75,230,72,247,2,31
"それ",17,4,3,11,22,227,96,176,12,20
"もの",13,3,2,10,23,161,109,207,18,21
"人",13,0,3,30,25,109,116,188,27,12
"たち",7,0,0,10,10,98,21,183,4,11
"さん",11,5,1,1,32,13,17,235,5,4
"何",2,2,0,11,20,89,34,135,8,20
"あなた",0,1,0,3,137,31,50,63,3,14
"僕",0,2,3,0,1,13,1,260,0,0
"これ",4,5,3,4,6,76,40,79,15,8
"こと",26,0,5,7,5,16,92,46,40,0
"家",13,4,0,6,16,63,70,42,2,14
"時",2,4,0,9,18,63,22,90,4,8
"女",2,3,8,0,1,84,89,3,5,22
"ん",2,10,0,1,4,96,11,68,6,8
"者",1,6,0,6,2,54,30,95,6,2
"いま",9,2,1,12,10,33,22,86,6,9
"先生",3,0,0,0,10,10,5,148,14,0
"顔",11,0,1,4,7,79,15,49,5,11
"気",5,2,1,7,13,47,14,61,7,6
"男",0,1,20,12,4,37,65,12,2,8
"ところ",2,5,1,2,9,37,13,70,5,13
"日",2,1,1,9,12,27,4,59,16,7
"支那",0,0,0,0,2,0,0,132,1,0
"中",4,2,0,2,4,37,18,42,7,8
"そう",7,3,3,1,12,39,10,33,4,7
"人間",0,0,0,3,1,85,10,17,1,2
"ため",4,0,1,3,1,35,9,43,6,16
"ほう",2,5,0,2,9,46,7,36,3,7
"君",0,0,1,13,1,8,3,79,12,0
"言葉",1,0,0,0,3,36,10,46,15,1
"ひと",1,7,1,0,2,76,1,16,1,6
"女房",0,0,0,1,1,0,98,2,2,3
"心",4,0,0,7,1,29,22,35,4,3
"一つ",2,0,1,3,5,37,15,35,2,4
"父",4,0,0,1,16,51,3,29,0,0
"気持",2,1,0,2,3,43,4,40,1,4
"さ",7,0,2,2,2,47,17,12,7,2
"学校",4,0,0,0,1,35,2,55,0,0
"頃",1,3,0,4,8,33,3,42,1,2
"酒",8,9,0,0,2,46,4,20,5,1
"氏",1,0,0,0,0,2,9,67,11,1
"年",2,0,2,2,4,18,7,41,11,2
"ひとり",4,1,1,3,6,27,10,31,4,1
"ここ",1,1,2,10,0,16,14,26,4,6
"彼",0,0,0,4,0,24,9,39,2,2
"メロス",0,0,0,75,0,0,0,0,0,0
"どこ",2,2,0,0,7,22,12,20,2,6
"眼",2,2,1,4,2,28,12,17,5,0
"みたい",3,0,0,0,1,44,4,19,0,1
"あれ",0,1,0,3,6,10,7,26,2,16
"兄",63,0,0,5,0,1,0,1,0,0
"夜",1,1,1,5,2,24,2,26,2,3
"的",1,1,0,0,2,13,13,31,6,0
"芸術",1,0,0,0,0,3,61,2,0,0
"お前",0,0,0,0,0,32,6,8,3,17
"前",0,1,0,2,4,12,16,24,1,5
"わけ",1,0,0,1,3,20,6,27,1,4
"国",0,0,0,0,0,4,0,57,0,2
"様子",3,0,1,4,4,10,15,21,3,2
"誰",3,0,1,2,7,14,7,19,4,6
"声",0,0,1,9,4,16,11,13,4,2
"謂",0,0,0,0,0,34,2,24,0,0
"お金",1,0,0,0,18,31,2,2,5,0
"つもり",2,0,0,5,2,16,12,20,1,1
"間",2,0,0,6,3,12,18,15,2,1
"れい",1,0,0,0,1,31,6,18,0,1
"所",0,0,0,0,2,21,11,22,1,0
"相手",1,1,0,1,0,14,18,17,0,5
"方",0,0,0,4,0,13,21,17,0,1
"部屋",1,7,0,0,2,33,8,4,0,1
"おれ",5,0,0,0,0,15,7,1,15,12
"ヒラメ",0,0,0,0,0,55,0,0,0,0
"他",1,0,0,4,5,11,6,25,2,1
"手紙",2,1,0,0,2,9,13,26,2,0
"本",1,2,0,0,2,21,9,17,2,1
"うち",1,4,0,4,3,15,4,17,2,4
"口",0,1,1,2,2,20,5,18,5,0
"わたくし",0,0,0,0,0,0,51,1,1,0
"上",1,3,1,1,2,10,15,15,3,2
"小説",3,0,0,0,1,3,30,10,5,0
"罪",0,0,0,2,0,42,4,4,0,0
"歳",13,0,0,1,1,6,2,23,1,3
"そこ",0,1,0,0,0,18,9,16,0,4
"全部",2,0,0,2,2,14,4,23,1,0
"子供",0,0,0,0,1,24,3,18,1,1
"田舎",4,0,0,0,0,7,1,34,0,2
"会",0,0,0,0,3,7,0,34,3,0
"今",0,0,0,5,1,4,19,12,3,2
"姿",1,0,1,3,1,6,10,22,2,0
"いちど",3,0,0,1,2,22,6,3,5,3
"思い",1,0,2,1,2,21,6,6,1,5
"道化",0,0,0,0,0,42,0,3,0,0
"まま",0,4,1,4,1,10,2,13,8,1
"学生",0,0,0,0,0,8,1,35,0,0
"神",0,0,0,5,1,18,10,5,4,1
"科学",0,0,0,0,0,6,2,36,0,0
"みんな",5,0,0,0,7,6,7,10,8,0
"娘",0,4,8,1,0,19,2,7,0,2
"店",0,0,1,0,0,17,13,11,1,0
"思想",0,0,0,0,0,2,0,40,0,1
"画",0,0,0,0,27,12,0,4,0,0
"なん",2,0,0,4,4,9,10,11,1,1
"へん",1,1,0,0,1,16,1,19,0,3
"自身",5,0,1,2,1,6,11,12,1,3
"手",0,0,0,3,0,5,12,9,5,7
"生徒",0,0,0,0,0,6,1,34,0,0
"ちゃん",0,12,0,0,0,27,0,0,0,0
"とき",15,0,1,2,0,2,14,1,4,0
"嘘",3,1,1,2,2,5,10,4,4,7
"度",0,0,0,4,4,11,7,12,0,1
"留学生",0,0,0,0,0,0,0,39,0,0
"筈",0,0,0,2,2,9,9,11,3,3
"胸",1,1,0,3,3,10,10,6,4,1
"写真",1,0,0,0,2,21,2,11,1,0
"女学生",0,0,0,0,0,0,35,1,2,0
"文芸",0,0,0,0,0,0,0,37,1,0
"革命",0,0,0,0,0,0,0,38,0,0
"こんど",1,1,1,2,4,6,2,15,2,3
"屋",1,1,2,0,4,10,0,18,1,0
"皆",0,0,0,2,1,15,4,15,0,0
"絵",2,0,0,0,1,28,0,5,1,0
"おまえ",2,0,0,20,0,0,3,0,11,0
"以上",2,0,0,0,0,14,6,8,4,2
"子",3,0,0,1,0,11,2,13,6,0
"母",1,0,0,1,16,7,3,5,1,2
"後",0,0,1,1,1,8,2,21,1,0
"町",1,0,0,0,3,11,5,6,0,9
"長兄",28,0,0,0,0,5,0,0,2,0
"いつ",2,1,0,1,5,12,5,7,0,1
"医学",0,0,0,0,0,0,1,33,0,0
"友人",2,4,2,2,1,9,2,3,9,0
"奥さん",0,0,0,0,2,19,12,1,0,0
"嫁",0,0,0,0,4,4,0,0,0,26
"故郷",0,0,0,1,2,18,1,12,0,0
"民衆",0,0,0,0,0,0,0,34,0,0
"目",0,0,1,5,2,9,12,1,4,0
"きょう",1,0,0,4,1,8,2,9,4,3
"世間",0,0,0,0,0,28,3,1,0,0
"事実",0,0,0,0,1,5,10,16,0,0
"当時",3,0,0,0,0,4,3,20,1,1
"身",2,0,0,3,0,11,7,8,1,0
"枚",1,0,1,0,8,9,2,5,5,0
"あと",2,1,1,0,4,8,1,8,3,2
"世の中",1,0,0,1,4,17,2,4,1,0
"花",4,0,1,0,1,11,2,10,1,0
"血",0,0,0,1,0,6,12,3,8,0
"語",0,0,0,0,0,1,3,19,7,0
"OTHERS1",536,167,132,713,538,4377,2467,6188,1636,428
