"Term1","hana2","jigokuhen_shinji2","kaeru2","kaigara2","karenosho2","kiseru2","onna2","rashomon2","sarano_hana2","torokko2","anitachi2","asa2","asamasiki_mono2","hashire_merosu2","kirigirisu2","ningen_shikkaku2","onnano_ketto2","sekibetsu2","soseiki2","uso2"
"その",15,108,6,21,38,16,8,30,0,25,26,20,9,19,18,309,131,325,15,17
"この",19,33,4,12,26,9,3,37,0,2,14,1,2,9,12,82,120,199,22,23
"あの",4,67,0,4,3,2,1,0,0,1,8,1,0,10,20,62,38,121,3,10
"自分の",3,5,1,0,9,0,0,1,0,0,2,1,0,3,2,167,28,72,0,1
"私は",0,19,0,0,0,0,0,0,0,0,8,18,0,18,25,10,53,106,5,19
"しかし、",1,1,0,1,0,1,0,3,0,0,0,4,0,0,0,86,0,95,0,11
"自分は",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,132,2,54,0,0
"私は、",0,2,0,0,0,0,0,0,0,0,9,4,0,17,48,7,27,41,3,19
"私の",0,18,0,0,0,0,0,0,0,0,7,3,1,10,15,8,28,70,4,8
"もう",2,6,0,1,3,0,3,4,0,9,5,4,1,5,5,36,14,47,5,11
"自分は、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1,6,0,0
"事が",5,14,0,0,4,1,0,1,0,4,0,1,0,4,12,40,6,48,0,6
"事を",7,9,0,0,5,4,0,4,0,4,0,1,0,0,9,33,11,41,0,6
"顔を",12,8,0,0,6,6,0,2,0,0,3,0,0,2,6,38,7,34,3,7
"そんな",0,0,0,1,0,0,0,0,0,2,8,1,0,0,13,29,20,51,4,4
"それは",2,14,0,10,5,1,1,0,0,1,2,1,0,1,3,39,13,32,1,5
"それを",1,5,0,0,1,7,1,3,0,3,7,2,1,2,4,29,25,28,0,1
"て",2,3,0,6,5,3,0,2,0,0,2,1,0,2,5,35,6,38,0,8
"」と",0,11,0,1,0,1,0,0,0,0,4,3,1,3,0,0,8,70,0,11
"て、",8,10,1,0,2,2,1,4,0,0,1,2,0,0,4,23,12,28,2,2
"そうして、",1,0,0,0,0,2,0,5,0,0,0,1,0,3,3,48,4,21,2,5
"気が",0,10,0,0,0,1,0,0,0,2,4,1,0,2,6,25,7,26,2,4
"事に",4,3,0,0,3,3,0,2,0,2,0,2,0,1,1,33,8,24,0,2
"それから",1,8,1,6,2,0,2,1,0,2,4,1,1,4,3,10,12,25,1,2
"ある",10,7,0,0,3,5,4,7,0,4,0,0,0,0,2,10,10,17,5,1
"僕は",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,79,0,0
"時、",0,6,1,5,5,1,0,3,0,3,1,0,0,2,4,18,10,24,0,2
